[l,n]	Base4h	Base16h	Base32
[10,119]	'01313	'1dM	'3n
[7,15]	'013H	'1Z	'
[8,30]	'0132	'1e	'
[9,60]	'0132G	'1eG	'
[10,120]	'01320	'1eJ	'3o
[10,121]	'01321	'1eK	'3p
[9,61]	'0132H	'1eH	'
[10,122]	'01322	'1eL	'3q
[10,123]	'01323	'1eM	'3r
[8,31]	'0133	'1f	'
[9,62]	'0133G	'1fG	'
[10,124]	'01330	'1fJ	'3s
[10,125]	'01331	'1fK	'3t
[9,63]	'0133H	'1fH	'
[10,126]	'01332	'1fL	'3u
[10,127]	'01333	'1fM	'3v
[3,1]	'0H	'P	'
[4,2]	'02	'2	'
[5,4]	'02G	'2G	'4
[6,8]	'020	'2J	'
[7,16]	'020G	'2N	'
[8,32]	'0200	'20	'
[9,64]	'0200G	'20G	'
[10,128]	'02000	'20J	'40
[10,129]	'02001	'20K	'41
[9,65]	'0200H	'20H	'
[10,130]	'02002	'20L	'42
[10,131]	'02003	'20M	'43
[8,33]	'0201	'21	'
[9,66]	'0201G	'21G	'
[10,132]	'02010	'21J	'44
[10,133]	'02011	'21K	'45
[9,67]	'0201H	'21H	'
[10,134]	'02012	'21L	'46
[10,135]	'02013	'21M	'47
[7,17]	'020H	'2P	'
[8,34]	'0202	'22	'
[9,68]	'0202G	'22G	'
[10,136]	'02020	'22J	'48
[10,137]	'02021	'22K	'49
[9,69]	'0202H	'22H	'
[10,138]	'02022	'22L	'4a
[10,139]	'02023	'22M	'4b
[8,35]	'0203	'23	'
[9,70]	'0203G	'23G	'
[10,140]	'02030	'23J	'4c
[10,141]	'02031	'23K	'4d
[9,71]	'0203H	'23H	'
[10,142]	'02032	'23L	'4e
[10,143]	'02033	'23M	'4f
[6,9]	'021	'2K	'
[7,18]	'021G	'2Q	'
[8,36]	'0210	'24	'
[9,72]	'0210G	'24G	'
[10,144]	'02100	'24J	'4g
[10,145]	'02101	'24K	'4h
[9,73]	'0210H	'24H	'
[10,146]	'02102	'24L	'4i
[10,147]	'02103	'24M	'4j
[8,37]	'0211	'25	'
[9,74]	'0211G	'25G	'
[10,148]	'02110	'25J	'4k
[10,149]	'02111	'25K	'4l
[9,75]	'0211H	'25H	'
[10,150]	'02112	'25L	'4m
[10,151]	'02113	'25M	'4n
[7,19]	'021H	'2R	'
[8,38]	'0212	'26	'
[9,76]	'0212G	'26G	'
[10,152]	'02120	'26J	'4o
[10,153]	'02121	'26K	'4p
[9,77]	'0212H	'26H	'
[10,154]	'02122	'26L	'4q
[10,155]	'02123	'26M	'4r
[8,39]	'0213	'27	'
[9,78]	'0213G	'27G	'
[10,156]	'02130	'27J	'4s
[10,157]	'02131	'27K	'4t
[9,79]	'0213H	'27H	'
[10,158]	'02132	'27L	'4u
[10,159]	'02133	'27M	'4v
[5,5]	'02H	'2H	'5
[6,10]	'022	'2L	'
[7,20]	'022G	'2S	'
[8,40]	'0220	'28	'
[9,80]	'0220G	'28G	'
[10,160]	'02200	'28J	'50
[10,161]	'02201	'28K	'51
[9,81]	'0220H	'28H	'
[10,162]	'02202	'28L	'52
[10,163]	'02203	'28M	'53
[8,41]	'0221	'29	'
[9,82]	'0221G	'29G	'
[10,164]	'02210	'29J	'54
[10,165]	'02211	'29K	'55
[9,83]	'0221H	'29H	'
[10,166]	'02212	'29L	'56
[10,167]	'02213	'29M	'57
[7,21]	'022H	'2T	'
[8,42]	'0222	'2a	'
[9,84]	'0222G	'2aG	'
[10,168]	'02220	'2aJ	'58
[10,169]	'02221	'2aK	'59
[9,85]	'0222H	'2aH	'
[10,170]	'02222	'2aL	'5a
[10,171]	'02223	'2aM	'5b
[8,43]	'0223	'2b	'
[9,86]	'0223G	'2bG	'
[10,172]	'02230	'2bJ	'5c
[10,173]	'02231	'2bK	'5d
[9,87]	'0223H	'2bH	'
[10,174]	'02232	'2bL	'5e
[10,175]	'02233	'2bM	'5f
[6,11]	'023	'2M	'
[7,22]	'023G	'2V	'
[8,44]	'0230	'2c	'
[9,88]	'0230G	'2cG	'
[10,176]	'02300	'2cJ	'5g
[10,177]	'02301	'2cK	'5h
[9,89]	'0230H	'2cH	'
[10,178]	'02302	'2cL	'5i
[10,179]	'02303	'2cM	'5j
[8,45]	'0231	'2d	'
[9,90]	'0231G	'2dG	'
[10,180]	'02310	'2dJ	'5k
[10,181]	'02311	'2dK	'5l
[9,91]	'0231H	'2dH	'
[10,182]	'02312	'2dL	'5m
[10,183]	'02313	'2dM	'5n
[7,23]	'023H	'2Z	'
[8,46]	'0232	'2e	'
[9,92]	'0232G	'2eG	'
[10,184]	'02320	'2eJ	'5o
[10,185]	'02321	'2eK	'5p
[9,93]	'0232H	'2eH	'
[10,186]	'02322	'2eL	'5q
[10,187]	'02323	'2eM	'5r
[8,47]	'0233	'2f	'
[9,94]	'0233G	'2fG	'
[10,188]	'02330	'2fJ	'5s
[10,189]	'02331	'2fK	'5t
[9,95]	'0233H	'2fH	'
[10,190]	'02332	'2fL	'5u
[10,191]	'02333	'2fM	'5v
[4,3]	'03	'3	'
[5,6]	'03G	'3G	'6
[6,12]	'030	'3J	'
[7,24]	'030G	'3N	'
[8,48]	'0300	'30	'
[9,96]	'0300G	'30G	'
[10,192]	'03000	'30J	'60
[10,193]	'03001	'30K	'61
[9,97]	'0300H	'30H	'
[10,194]	'03002	'30L	'62
[10,195]	'03003	'30M	'63
[8,49]	'0301	'31	'
[9,98]	'0301G	'31G	'
[10,196]	'03010	'31J	'64
[10,197]	'03011	'31K	'65
[9,99]	'0301H	'31H	'
[10,198]	'03012	'31L	'66
[10,199]	'03013	'31M	'67
[7,25]	'030H	'3P	'
[8,50]	'0302	'32	'
[9,100]	'0302G	'32G	'
[10,200]	'03020	'32J	'68
[10,201]	'03021	'32K	'69
[9,101]	'0302H	'32H	'
[10,202]	'03022	'32L	'6a
[10,203]	'03023	'32M	'6b
[8,51]	'0303	'33	'
[9,102]	'0303G	'33G	'
[10,204]	'03030	'33J	'6c
